,cid,label,left,right,top,bottom,width,height,score
0,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,791,1115,485,627,324,142,0.8715274
1,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,648,907,485,618,259,133,0.89134514
1,2,car,791,1115,485,627,324,142,0.8715274
2,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,648,904,484,619,256,135,0.9390371
1,2,car,648,907,485,618,259,133,0.89134514
2,2,car,791,1115,485,627,324,142,0.8715274
3,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,647,905,484,619,258,135,0.90413207
1,2,car,648,904,484,619,256,135,0.9390371
2,2,car,648,907,485,618,259,133,0.89134514
3,2,car,791,1115,485,627,324,142,0.8715274
4,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,648,907,485,620,259,135,0.9054988
1,2,car,647,905,484,619,258,135,0.90413207
2,2,car,648,904,484,619,256,135,0.9390371
3,2,car,648,907,485,618,259,133,0.89134514
4,2,car,791,1115,485,627,324,142,0.8715274
5,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,648,904,486,619,256,133,0.9145516
1,2,car,648,907,485,620,259,135,0.9054988
2,2,car,647,905,484,619,258,135,0.90413207
3,2,car,648,904,484,619,256,135,0.9390371
4,2,car,648,907,485,618,259,133,0.89134514
5,2,car,791,1115,485,627,324,142,0.8715274
6,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,648,904,484,619,256,135,0.92421466
1,2,car,648,904,486,619,256,133,0.9145516
2,2,car,648,907,485,620,259,135,0.9054988
3,2,car,647,905,484,619,258,135,0.90413207
4,2,car,648,904,484,619,256,135,0.9390371
5,2,car,648,907,485,618,259,133,0.89134514
6,2,car,791,1115,485,627,324,142,0.8715274
7,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,649,906,484,618,257,134,0.9072425
1,2,car,648,904,484,619,256,135,0.92421466
2,2,car,648,904,486,619,256,133,0.9145516
3,2,car,648,907,485,620,259,135,0.9054988
4,2,car,647,905,484,619,258,135,0.90413207
5,2,car,648,904,484,619,256,135,0.9390371
6,2,car,648,907,485,618,259,133,0.89134514
7,2,car,791,1115,485,627,324,142,0.8715274
8,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,649,905,485,620,256,135,0.91023695
1,2,car,649,906,484,618,257,134,0.9072425
2,2,car,648,904,484,619,256,135,0.92421466
3,2,car,648,904,486,619,256,133,0.9145516
4,2,car,648,907,485,620,259,135,0.9054988
5,2,car,647,905,484,619,258,135,0.90413207
6,2,car,648,904,484,619,256,135,0.9390371
7,2,car,648,907,485,618,259,133,0.89134514
8,2,car,791,1115,485,627,324,142,0.8715274
9,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,647,905,483,619,258,136,0.9129015
1,2,car,649,905,485,620,256,135,0.91023695
2,2,car,649,906,484,618,257,134,0.9072425
3,2,car,648,904,484,619,256,135,0.92421466
4,2,car,648,904,486,619,256,133,0.9145516
5,2,car,648,907,485,620,259,135,0.9054988
6,2,car,647,905,484,619,258,135,0.90413207
7,2,car,648,904,484,619,256,135,0.9390371
8,2,car,648,907,485,618,259,133,0.89134514
9,2,car,791,1115,485,627,324,142,0.8715274
10,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,648,906,483,619,258,136,0.9226811
1,2,car,647,905,483,619,258,136,0.9129015
2,2,car,649,905,485,620,256,135,0.91023695
3,2,car,649,906,484,618,257,134,0.9072425
4,2,car,648,904,484,619,256,135,0.92421466
5,2,car,648,904,486,619,256,133,0.9145516
6,2,car,648,907,485,620,259,135,0.9054988
7,2,car,647,905,484,619,258,135,0.90413207
8,2,car,648,904,484,619,256,135,0.9390371
9,2,car,648,907,485,618,259,133,0.89134514
10,2,car,791,1115,485,627,324,142,0.8715274
11,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,648,904,485,618,256,133,0.9287071
1,2,car,648,906,483,619,258,136,0.9226811
2,2,car,647,905,483,619,258,136,0.9129015
3,2,car,649,905,485,620,256,135,0.91023695
4,2,car,649,906,484,618,257,134,0.9072425
5,2,car,648,904,484,619,256,135,0.92421466
6,2,car,648,904,486,619,256,133,0.9145516
7,2,car,648,907,485,620,259,135,0.9054988
8,2,car,647,905,484,619,258,135,0.90413207
9,2,car,648,904,484,619,256,135,0.9390371
10,2,car,648,907,485,618,259,133,0.89134514
11,2,car,791,1115,485,627,324,142,0.8715274
12,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,648,907,485,618,259,133,0.90709186
1,2,car,648,904,485,618,256,133,0.9287071
2,2,car,648,906,483,619,258,136,0.9226811
3,2,car,647,905,483,619,258,136,0.9129015
4,2,car,649,905,485,620,256,135,0.91023695
5,2,car,649,906,484,618,257,134,0.9072425
6,2,car,648,904,484,619,256,135,0.92421466
7,2,car,648,904,486,619,256,133,0.9145516
8,2,car,648,907,485,620,259,135,0.9054988
9,2,car,647,905,484,619,258,135,0.90413207
10,2,car,648,904,484,619,256,135,0.9390371
11,2,car,648,907,485,618,259,133,0.89134514
12,2,car,791,1115,485,627,324,142,0.8715274
13,2,car,790,1116,486,626,326,140,0.91172504
0,2,car,649,906,484,619,257,135,0.91475344
1,2,car,648,907,485,618,259,133,0.90709186
2,2,car,648,904,485,618,256,133,0.9287071
3,2,car,648,906,483,619,258,136,0.9226811
4,2,car,647,905,483,619,258,136,0.9129015
5,2,car,649,905,485,620,256,135,0.91023695
6,2,car,649,906,484,618,257,134,0.9072425
7,2,car,648,904,484,619,256,135,0.92421466
8,2,car,648,904,486,619,256,133,0.9145516
9,2,car,648,907,485,620,259,135,0.9054988
10,2,car,647,905,484,619,258,135,0.90413207
11,2,car,648,904,484,619,256,135,0.9390371
12,2,car,648,907,485,618,259,133,0.89134514
13,2,car,791,1115,485,627,324,142,0.8715274
14,2,car,790,1116,486,626,326,140,0.91172504
